date,water_consumption_m3,electricity_kwh,reservoir_level_pct,alert_level
2026-07-17,4935.7,19954.8,59.0,WATCH
2026-07-18,4823.2,20215.5,58.2,WATCH
2026-07-19,5036.2,19604.7,57.5,WATCH
2026-07-20,5390.7,20905.6,56.7,WATCH
2026-07-21,5007.2,19379.2,55.7,WATCH
2026-07-22,4860.9,19780.6,55.2,WATCH
2026-07-23,5083.2,20738.5,54.4,WATCH
2026-07-24,5202.4,21183.0,53.9,WATCH
2026-07-25,4802.5,19909.6,53.1,WATCH
2026-07-26,5072.9,20026.7,51.9,WATCH
2026-07-27,5301.7,20773.7,51.2,WATCH
2026-07-28,5177.6,20647.5,49.7,WATCH
2026-07-29,5213.2,21406.2,49.3,WATCH
2026-07-30,5327.9,20408.7,48.1,WATCH
2026-07-31,5365.9,19970.9,47.1,WATCH
2026-08-01,5469.5,21479.3,46.5,WATCH
2026-08-02,5385.1,20533.3,46.0,WATCH
2026-08-03,5370.5,20751.0,45.1,WATCH
2026-08-04,5212.9,21024.9,44.5,WATCH
2026-08-05,5335.2,20531.6,43.7,WATCH
2026-08-06,5515.7,20692.9,43.1,WATCH
2026-08-07,5136.1,19854.0,42.3,WATCH
2026-08-08,5398.5,20932.8,41.6,WATCH
2026-08-09,5480.6,21369.5,41.0,WATCH
2026-08-10,5104.6,22034.2,40.2,WATCH
2026-08-11,5536.0,21603.9,39.7,WARNING
2026-08-12,5263.8,21000.7,39.0,WARNING
2026-08-13,5492.4,21379.4,38.4,WARNING
2026-08-14,5508.2,22152.5,37.3,WARNING
2026-08-15,5405.4,20321.2,36.0,WARNING
